month,bugCount,summer,test,release,size
1,1,0,0,0,1
2,0,0,0,0,1.0022727
3,0,0,0,0,1.0045454
4,0,0,0,0,1.0068181
5,0,0,0,0,1.0090908
6,0,0,0,0,1.0113635
7,0,1,0,0,1.0136362
8,0,1,0,0,1.0159089
9,0,0,0,0,1.0181816
10,2,0,0,0,1.0204543
11,0,0,0,0,1.022727
12,0,0,0,0,1.0249997
13,0,0,0,0,1.0272724
14,1,0,0,0,1.0295451
15,0,0,0,0,1.0318178
16,0,0,0,0,1.0340905
17,0,0,0,0,1.0363632
18,1,0,0,0,1.0386359
19,1,1,0,0,1.0409086
20,1,1,0,0,1.0431813
21,3,0,0,0,1.045454
22,2,0,0,0,1.0477267
23,1,0,0,0,1.0499994
24,0,0,0,0,1.0522721
25,0,0,0,0,1.0545448
26,0,0,0,0,1.0568175
27,0,0,0,0,1.0590902
28,1,0,0,0,1.0613629
29,0,0,0,0,1.0636356
30,1,0,0,0,1.0659083
31,0,1,0,0,1.068181
32,0,1,0,0,1.0704537
33,0,0,0,0,1.0727264
34,3,0,0,0,1.0749991
35,1,0,0,0,1.0772718
36,3,0,0,0,1.0795445
37,3,0,0,0,1.0818172
38,2,0,0,0,1.0840899
39,1,0,0,0,1.0863626
40,3,0,0,0,1.0886353
41,4,0,0,0,1.090908
42,8,0,0,0,1.0931807
43,3,1,0,0,1.0954534
44,23,1,0,0,1.0977261
45,119,0,1,0,1.1
46,85,0,1,0,1.1
47,88,0,1,0,1.1
48,57,0,1,0,1.1
49,93,0,1,0,1.1
50,106,0,1,0,1.1
51,124,0,1,0,1.1
52,159,0,1,0,1.1
53,152,0,1,0,1.1
54,89,0,1,0,1.1
55,51,1,1,0,1.1
56,80,1,1,0,1.1
57,153,0,1,0,1.1
58,197,0,1,0,1.1
59,247,0,1,0,1.1
60,253,0,1,0,1.1
61,297,0,1,0,1.1
62,455,0,1,0,1.1
63,621,0,1,0,1.1
64,513,0,1,0,1.1
65,419,0,1,0,1.1
66,370,0,1,0,1.1
67,178,1,1,0,1.1
68,234,1,0,1,1.1
69,184,0,0,1,1.1
70,175,0,0,1,1.1
71,119,0,0,1,1.1
72,110,0,0,1,1.1
73,125,0,0,1,1.1
74,112,0,0,1,1.1
75,135,0,0,1,1.1
76,86,0,0,1,1.1
77,85,0,0,1,1.1
78,85,0,0,1,1.1
79,78,1,0,1,1.1
80,72,1,0,1,1.1
81,79,0,0,1,1.1
82,60,0,0,1,1.1
83,35,0,0,1,1.1
84,32,0,0,1,1.1
85,26,0,0,1,1.1
86,37,0,0,1,1.1
87,39,0,0,1,1.1
88,47,0,0,1,1.1
89,59,0,0,1,1.1
90,45,0,0,1,1.1
91,62,1,0,1,1.1
92,62,1,0,1,1.1
93,51,0,0,1,1.1
94,43,0,0,1,1.1
95,20,0,0,1,1.1
96,32,0,0,1,1.1
97,40,0,0,1,1.1
98,30,0,0,1,1.1
99,15,0,0,1,1.1
100,23,0,0,1,1.1
101,23,0,0,1,1.1
102,40,0,0,1,1.1
103,31,1,0,1,1.1
104,16,1,0,1,1.1
105,69,0,0,1,1.1
106,50,0,0,1,1.1
107,32,0,0,1,1.1
108,16,0,0,1,1.1
109,2,0,0,1,1.1
