month,bugCount,summer,test,release,size
1,1,1,0,0,1
2,0,1,0,0,1.001724
3,2,0,0,0,1.003448
4,0,0,0,0,1.005172
5,0,0,0,0,1.006896
6,1,0,0,0,1.00862
7,0,0,0,0,1.010344
8,1,0,0,0,1.012068
9,0,0,0,0,1.013792
10,0,0,0,0,1.015516
11,0,0,0,0,1.01724
12,0,0,0,0,1.018964
13,0,1,0,0,1.020688
14,1,1,0,0,1.022412
15,0,0,0,0,1.024136
16,0,0,0,0,1.02586
17,0,0,0,0,1.027584
18,1,0,0,0,1.029308
19,0,0,0,0,1.031032
20,0,0,0,0,1.032756
21,1,0,0,0,1.03448
22,0,0,0,0,1.036204
23,0,0,0,0,1.037928
24,1,0,0,0,1.039652
25,2,1,0,0,1.041376
26,3,1,0,0,1.0431
27,3,0,0,0,1.044824
28,9,0,0,0,1.046548
29,2,0,0,0,1.048272
30,6,0,0,0,1.049996
31,2,0,0,0,1.05172
32,1,0,0,0,1.053444
33,2,0,0,0,1.055168
34,1,0,0,0,1.056892
35,10,0,0,0,1.058616
36,6,0,0,0,1.06034
37,7,1,0,0,1.062064
38,17,1,0,0,1.063788
39,51,0,0,0,1.065512
40,21,0,0,0,1.067236
41,17,0,0,0,1.06896
42,4,0,0,0,1.070684
43,27,0,0,0,1.072408
44,25,0,0,0,1.074132
45,9,0,0,0,1.075856
46,8,0,0,0,1.07758
47,13,0,0,0,1.079304
48,18,0,0,0,1.081028
49,24,1,0,0,1.082752
50,87,1,0,0,1.084476
51,82,0,0,0,1.0862
52,68,0,0,0,1.087924
53,58,0,0,0,1.089648
54,28,0,0,0,1.091372
55,39,0,0,0,1.093096
56,98,0,0,0,1.09482
57,97,0,0,0,1.096544
58,172,0,0,0,1.098268
59,118,0,1,0,1.1
60,74,0,1,0,1.1
61,83,1,1,0,1.1
62,167,1,1,0,1.1
63,164,0,1,0,1.1
64,279,0,1,0,1.1
65,247,0,1,0,1.1
66,197,0,1,0,1.1
67,272,0,1,0,1.1
68,561,0,1,0,1.1
69,634,0,1,0,1.1
70,529,0,1,0,1.1
71,416,0,1,0,1.1
72,197,0,1,0,1.1
73,300,1,1,0,1.1
74,232,1,1,0,1.1
75,169,0,1,0,1.1
76,115,0,1,0,1.1
77,87,0,0,1,1.1
78,81,0,0,1,1.1
79,70,0,0,1,1.1
80,60,0,0,1,1.1
81,35,0,0,1,1.1
82,15,0,0,1,1.1
83,8,0,0,1,1.1
84,6,0,0,1,1.1
85,10,1,0,1,1.1
86,5,1,0,1,1.1
87,9,0,0,1,1.1
88,6,0,0,1,1.1
89,3,0,0,1,1.1
90,2,0,0,1,1.1
91,3,0,0,1,1.1
92,0,0,0,1,1.1
93,0,0,0,1,1.1
94,0,0,0,1,1.1
95,0,0,0,1,1.1
96,0,0,0,1,1.1
97,0,1,0,1,1.1
98,0,1,0,1,1.1
99,0,0,0,1,1.1
100,0,0,0,1,1.1
101,0,0,0,1,1.1
102,0,0,0,1,1.1
103,0,0,0,1,1.1
104,2,0,0,1,1.1
105,0,0,0,1,1.1
106,0,0,0,1,1.1
107,0,0,0,1,1.1
108,0,0,0,1,1.1
109,0,1,0,1,1.1
110,0,1,0,1,1.1
111,0,0,0,1,1.1
112,0,0,0,1,1.1
113,1,0,0,1,1.1
114,0,0,0,1,1.1
115,0,0,0,1,1.1
116,0,0,0,1,1.1
117,1,0,0,1,1.1
